temp,Na,Ca,Cl,SO4
383.15,6.734,0.0259,6.734,0.0259
383.15,6.93,0.00637,6.664,0.1391
383.15,7.381,0.00121,6.509,0.4374
383.15,7.382,0,6.59,0.4366
383.15,5.976,0.00371,0,2.992
383.15,3.292,0.00794,0,1.654
