tempK,pres,Na,Ca,K,Cl,Mg,MgOH,trisH,tris,HSO4,SO4,H,OH,osm,aw,gNa,gCa,gK,gCl,gMg,gMgOH,gtrisH,gtris,gHSO4,gSO4,gH,gOH
2.731499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517806192059019482e-02,1.938079409805060216e-06,4.000428304660927359e-02,3.999571695339072808e-02,1.597758056621652066e-10,2.925999984022419412e-02,1.119024964692870547e-09,2.346246000270781694e-06,8.961658292496201828e-01,9.808119980984577602e-01,6.255582625734386060e-01,1.924507655914534932e-01,5.757752120536855367e-01,6.818484071537073143e-01,2.223960389737252297e-01,9.076788698101337927e-01,5.987046772757170787e-01,9.957069123676576261e-01,7.140438495784962036e-01,9.670778189438748729e-02,7.630162296042074521e-01,5.649685989525808916e-01
2.781499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517770824075587249e-02,2.291759244127389294e-06,4.000489252612423469e-02,3.999510747387576698e-02,2.718019752572996386e-10,2.925999972819802453e-02,1.652968463371899709e-09,2.602691650574350672e-06,8.991203214160761181e-01,9.807493475701587471e-01,6.302974210954249701e-01,1.950286694528126363e-01,5.790272607317223930e-01,6.846774178601613414e-01,2.184128793986426786e-01,9.028961577004386285e-01,5.955499368017678208e-01,9.957070986866355389e-01,7.108098051512727888e-01,9.839902245782207457e-02,7.571425069224753113e-01,5.653614295608827556e-01
2.831499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517733097862723840e-02,2.669021372761481992e-06,4.000551463167156818e-02,3.999448536832843348e-02,4.562237450285697708e-10,2.925999954377625500e-02,2.403323587777819812e-09,2.848469846153804255e-06,9.013211256659594550e-01,9.807026808331480439e-01,6.338376678918603568e-01,1.946763512376511185e-01,5.816936330409031575e-01,6.864490625451661332e-01,2.145609749094060659e-01,8.980829219785998463e-01,5.923750549906240392e-01,9.957072935609098119e-01,7.075485063396599328e-01,9.961613451058640156e-02,7.511774456625213148e-01,5.660978106126953735e-01
2.881499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517693275760311017e-02,3.067242396889713341e-06,4.000614709367152078e-02,3.999385290632848089e-02,7.556744969138016711e-10,2.925999924432550608e-02,3.442365619085461571e-09,3.084049314779210580e-06,9.029491710601060817e-01,9.806681596560676839e-01,6.363533160281271694e-01,1.932182607651705408e-01,5.837941060954248140e-01,6.874148344204910055e-01,2.107585936675358818e-01,8.931714310231614329e-01,5.891353570691558739e-01,9.957074959193205066e-01,7.042072192990728174e-01,1.003718271818523355e-01,7.450436509534068552e-01,5.668024784255838444e-01
2.931499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517651635567202839e-02,3.483644327971491261e-06,4.000678748575267618e-02,3.999321251424732548e-02,1.235372739811591883e-09,2.925999876462726315e-02,4.861175916357120551e-09,3.309937973382634703e-06,9.041086211396200945e-01,9.806435743970443042e-01,6.379881769741703179e-01,1.912493265664653996e-01,5.853364787420245463e-01,6.877205284526405338e-01,2.069566820498874027e-01,8.881207886931286044e-01,5.858038689758503503e-01,9.957077046244033891e-01,7.007538969624221847e-01,1.006868059098399021e-01,7.386993985493813808e-01,5.672579021335373284e-01
2.981499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517608465081348668e-02,3.915349186513206181e-06,4.000743322343324609e-02,3.999256677656675557e-02,1.993728053698782052e-09,2.925999800627194711e-02,6.772980971201529360e-09,3.526640955774782575e-06,9.048724956906428751e-01,9.806273762478641132e-01,6.388609428717608729e-01,1.890092338960419338e-01,5.863408490933560424e-01,6.874690567751816639e-01,2.031263876891524767e-01,8.829065826988258259e-01,5.823644893939834422e-01,9.957079184879784606e-01,6.971692129858656495e-01,1.005885586225640921e-01,7.321266755897091194e-01,5.673434244192288034e-01
3.031499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517564057202337113e-02,4.359427976628749146e-06,4.000808157073514754e-02,3.999191842926485413e-02,3.177257148555358599e-09,2.925999682274285293e-02,9.316702091741166695e-09,3.734636717775394174e-06,9.052962884518429565e-01,9.806183883027652648e-01,6.390699574523531767e-01,1.866077406933610572e-01,5.868359186354884516e-01,6.867389590091872442e-01,1.992517815409443616e-01,8.775150234124448057e-01,5.788081236803734875e-01,9.957081362862100216e-01,6.934420536253104173e-01,1.001089285978078169e-01,7.253237740963550673e-01,5.669994798791747614e-01
3.081499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517518706036208392e-02,4.812939637915958357e-06,4.000872964143232374e-02,3.999127035856767792e-02,5.001272795140709812e-09,2.925999499872720608e-02,1.266064217909331949e-08,3.934363709405538558e-06,9.054238357121862091e-01,9.806156810167729887e-01,6.386970409288343919e-01,1.840997032436895164e-01,5.868541773729897271e-01,6.855923587581234102e-01,1.953252827382359058e-01,8.719392761999665842e-01,5.751302646421889708e-01,9.957083567710299787e-01,6.895666950958996289e-01,9.928200055033933880e-02,7.183002945339709289e-01,5.662054382131329611e-01
3.131499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517472703976915305e-02,5.272960230846834850e-06,4.000937439047876770e-02,3.999062560952123396e-02,7.778187215122562629e-09,2.925999222181278545e-02,1.700621531731654076e-08,4.126214650470538635e-06,9.052904834521547928e-01,9.806185049851999791e-01,6.378104696431564635e-01,1.815143590968913978e-01,5.864287073892002766e-01,6.840792830863181573e-01,1.913446316877223385e-01,8.661770081908254371e-01,5.713293743568532701e-01,9.957085786773844927e-01,6.855409132302434649e-01,9.814244531213286993e-02,7.110735946279491682e-01,5.649653330008197472e-01
3.181499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517426339641978011e-02,5.736603580219767906e-06,4.001001259163357304e-02,3.998998740836642862e-02,1.195571058996008875e-08,2.925998804428940961e-02,2.259160512387893040e-08,4.310535369099222644e-06,9.049250605337878506e-01,9.806262490629285011e-01,6.364673193325158795e-01,1.788680709018310444e-01,5.855913661837016670e-01,6.822403908242782311e-01,1.873108646471482452e-01,8.602287188710293631e-01,5.674057829997612989e-01,9.957088007261080120e-01,6.813646949969143218e-01,9.672430632182031640e-02,7.036662208718931222e-01,5.632984275112643546e-01
3.231499999999999773e+02,1.013250000000000028e+01,4.451600000000000001e-01,1.077000000000000006e-02,1.058000000000000086e-02,5.691199999999999593e-01,5.517379896346808615e-02,6.201036531913728389e-06,4.001064079867733270e-02,3.998935920132266897e-02,1.816772846404510453e-08,2.925998183227153729e-02,2.969521933755917562e-08,4.487625093250916886e-06,9.043512663856655420e-01,9.806384109135389826e-01,6.347154148303241206e-01,1.761704243239179124e-01,5.843719343842164182e-01,6.801089530116704029e-01,1.832270563568892674e-01,8.540967083145964978e-01,5.633610082529805219e-01,9.957090216229740331e-01,6.770394408938535946e-01,9.506021456286012361e-02,6.961041237203202670e-01,5.612329429154780946e-01
